,year,sector,vab,emp,productividad,index,TCC,TCP_1,TCP_2,prod_tcc
138,2012,Resto industria,154615,4512370.0,0.034264699038421054,,,2.645295065688402,1.7692344305123848,0.012953072601564065
139,2012,Resto industria,154615,4428470.0,0.034913864156243576,,,2.645295065688402,1.7692344305123848,0.013198476271741626
140,2013,Resto industria,195006,4516460.0,0.04317673576207915,,,2.7039072200168492,1.8144801867546825,0.015968275628114967
141,2014,Resto industria,253769,4497810.0,0.056420569121416866,,,2.6256536160227677,1.6721521353828568,0.021488199653265927
142,2015,Resto industria,343612,4672200.0,0.0735439407559608,,,2.687444409628227,1.8053785023032782,0.027365753312878625
143,2016,Resto industria,465550,,,,,2.474870697695416,1.6086191011435709,
144,2002,Resto industria,4517,31255.0,0.14452087665973445,,3.14,0.9941158842965611,0.7066666934948361,0.14537628755625184
145,2003,Resto industria,4978,29544.0,0.16849444895748714,,2.93,1.2378096178732818,0.8402254851792774,0.13612307298676718
146,2004,Resto industria,5609,303000.0,0.018511551155115512,,2.93,1.2035224460529526,0.8545070696306212,0.015381143256468223
147,2005,Resto industria,6359,287380.0,0.022127496694272393,,,1.3501430843732851,0.9063353378572974,0.01638900124762971
148,2006,Resto industria,7707,297900.0,0.025871097683786506,,,1.344359568048199,0.9263972315392778,0.0192441801276033
149,2007,Resto industria,9092,306170.0,0.02969592056700526,,,1.4597207637984138,1.045406646701571,0.020343562483643784
150,2008,Resto industria,10006,319300.0,0.031337300344503605,,,1.7492073402923984,1.2535363609397792,0.017915143403906163
151,2009,Resto industria,11865,355180.0,0.033405597162002365,,,1.8840630492383101,1.223506415269924,0.017730615318583737
152,2010,Resto industria,14707,431860.0,0.03405501782985227,,,1.9955236223549513,1.4283430244428186,0.017065705185520863
153,2011,Resto industria,17852,424150.0,0.04208888364965224,,,2.250516835756798,1.6176849656438348,0.018701874600950807
154,2012,Resto industria,19087,461400.0,0.041367576939748595,,,2.645295065688402,1.7692344305123848,0.015638171134978188
